zone	role	tier	w	h	area	aspect	facing	family	dupCount	dupOf	group	pack	name	path
RESIDENTIAL_LOW	house	L	29	34	986	1.17	E	cabin	1		cabingunrang	Valley Station	lot_cabin_09_gunrange	Buildings Catalogue Curated\Valley Station\Other\lot_cabin_09_gunrange.tbx
RESIDENTIAL_LOW	house	L	30	30	900	1.0	W	house	3		housesmall	Dixie	lot_house_small_86	Buildings Catalogue Curated\Dixie\Residential\lot_house_small_86.tbx
RESIDENTIAL_LOW	house	L	30	30	900	1.0	W	house	3	Buildings Catalogue Curated\Dixie\Residential\lot_house_small_86.tbx	housesmall	Valley Station	lot_house_small_86	Buildings Catalogue Curated\Valley Station\Residential\lot_house_small_86.tbx
RESIDENTIAL_LOW	house	L	30	30	900	1.0	W	house	3	Buildings Catalogue Curated\Dixie\Residential\lot_house_small_86.tbx	housesmall	West Point	lot_house_small_86	Buildings Catalogue Curated\West Point\Residential\lot_house_small_86.tbx
RESIDENTIAL_LOW	house	L	40	20	800	2.0	N		1		homeyardfl	Loose	Home_14_Yard_1FL_3B	Residential\Home_14_Yard_1FL_3B.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	1		houselargee	Riverwood	lot_house_large_01_E_01	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_E_01.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	1		houselargee	Riverwood	lot_house_large_01_E_02	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_E_02.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	1		houselargee	Riverwood	lot_house_large_01_E_03	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_E_03.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	1		houselargee	Riverwood	lot_house_large_01_E_06	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_E_06.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	1		houselargen	Riverwood	lot_house_large_01_N_01	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_N_01.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	1		houselargen	Riverwood	lot_house_large_01_N_02	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_N_02.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	1		houselargen	Riverwood	lot_house_large_01_N_04	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_N_04.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	1		houselargen	Riverwood	lot_house_large_01_N_05	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_N_05.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		houselarges	Riverwood	lot_house_large_01_S_01	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_S_01.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		houselarges	Riverwood	lot_house_large_01_S_02	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_S_02.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		houselarges	Riverwood	lot_house_large_01_S_03	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_S_03.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		houselarges	Riverwood	lot_house_large_01_S_04	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_S_04.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		houselarges	Riverwood	lot_house_large_01_S_05	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_S_05.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		houselarges	Riverwood	lot_house_large_01_S_06	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_S_06.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	1		houselargew	Riverwood	lot_house_large_01_W_01	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_W_01.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	W	house	1		houselargew	Riverwood	lot_house_large_01_W_02	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_W_02.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	W	house	1		houselargew	Riverwood	lot_house_large_01_W_03	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_W_03.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	W	house	1		houselargew	Riverwood	lot_house_large_01_W_04	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_W_04.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	W	house	1		houselargew	Riverwood	lot_house_large_01_W_05	Buildings Catalogue Curated\Riverwood\Residential\lot_house_large_01_W_05.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	2		housemedium	Rosewood	lot_house_medium_55	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_55.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	3		housemedium	Rosewood	lot_house_medium_61_52v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_61_52v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	3		housemedium	Rosewood	lot_house_medium_66_58v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_66_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Rosewood	lot_house_medium_67_55v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_67_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Rosewood	lot_house_medium_69_58v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_69_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	3		housemedium	Rosewood	lot_house_medium_70_55v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_70_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	3		housemedium	Rosewood	lot_house_medium_72_60v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_72_60v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	2		housemedium	Rosewood	lot_house_medium_73_61v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_73_61v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	3		housemedium	Rosewood	lot_house_medium_74_60v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_74_60v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	3		housemedium	Rosewood	lot_house_medium_79_58v	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_79_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	2		housemedium	Valley Station	lot_house_medium_57_55v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_57_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	2		housemedium	Valley Station	lot_house_medium_59_58v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_59_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	3	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_61_52v.tbx	housemedium	Valley Station	lot_house_medium_61_52v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_61_52v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Valley Station	lot_house_medium_62_52v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_62_52v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	3	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_66_58v.tbx	housemedium	Valley Station	lot_house_medium_66_58v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_66_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Valley Station	lot_house_medium_68_55v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_68_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	3	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_70_55v.tbx	housemedium	Valley Station	lot_house_medium_70_55v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_70_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	E	house	3	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_72_60v.tbx	housemedium	Valley Station	lot_house_medium_72_60v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_72_60v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	3	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_74_60v.tbx	housemedium	Valley Station	lot_house_medium_74_60v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_74_60v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	3	Buildings Catalogue Curated\Rosewood\Residential\lot_house_medium_79_58v.tbx	housemedium	Valley Station	lot_house_medium_79_58v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_79_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	2		housemedium	Valley Station	lot_house_medium_80_79v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_80_79v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Valley Station	lot_house_medium_83_52v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_83_52v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Valley Station	lot_house_medium_84_52v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_84_52v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Valley Station	lot_house_medium_85_58v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_85_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	N	house	2		housemedium	Valley Station	lot_house_medium_86_55v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_86_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	W	house	2		housemedium	Valley Station	lot_house_medium_87_58v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_87_58v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	W	house	2		housemedium	Valley Station	lot_house_medium_88_55v	Buildings Catalogue Curated\Valley Station\Residential\lot_house_medium_88_55v.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		housemedium	West Point	lot_house_medium_52	Buildings Catalogue Curated\West Point\Residential\lot_house_medium_52.tbx
RESIDENTIAL_LOW	house	L	25	25	625	1.0	S	house	1		housemedium	West Point	lot_house_medium_53_52v	Buildings Catalogue Curated\West Point\Residential\lot_house_medium_53_52v.tbx
